epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3107.84,1.06676,0.93135,1.13776,0.76685,0.8058,0.82567,0.58835,0.91768,0.69499,1.03612,0.009307,0.009307,0.009307
44,3182.08,1.07218,0.92617,1.14463,0.77516,0.82507,0.83587,0.59439,0.90235,0.68492,1.02794,0.0092905,0.0092905,0.0092905
45,3255.39,1.06915,0.93075,1.13759,0.75898,0.82773,0.82746,0.59245,0.8881,0.68433,1.02109,0.009274,0.009274,0.009274
46,3329.79,1.06148,0.90554,1.13243,0.78035,0.82166,0.83457,0.604,0.8852,0.66931,1.01467,0.0092575,0.0092575,0.0092575
47,3404.69,1.06356,0.91233,1.13359,0.77149,0.82492,0.83302,0.60328,0.88006,0.66825,1.00927,0.009241,0.009241,0.009241
48,3477.64,1.06395,0.91131,1.12873,0.77634,0.82344,0.82957,0.59975,0.87473,0.66811,1.00889,0.0092245,0.0092245,0.0092245
49,3553.93,1.06268,0.91194,1.13708,0.77114,0.83124,0.83864,0.60957,0.87299,0.65576,1.00898,0.009208,0.009208,0.009208
50,3628.97,1.0606,0.90501,1.13091,0.78785,0.82184,0.84121,0.60882,0.8792,0.67346,1.01144,0.0091915,0.0091915,0.0091915
51,3703.12,1.05469,0.89101,1.12724,0.7873,0.82463,0.8439,0.61151,0.87452,0.65114,1.00971,0.009175,0.009175,0.009175
52,3777.01,1.04933,0.88791,1.12723,0.78775,0.83288,0.8499,0.61499,0.86109,0.65163,1.00086,0.0091585,0.0091585,0.0091585
53,3851.03,1.05369,0.90535,1.1345,0.78124,0.83439,0.84037,0.61619,0.87561,0.64823,1.01357,0.009142,0.009142,0.009142
54,3925.19,1.05133,0.89137,1.12802,0.79294,0.82769,0.84691,0.62183,0.86352,0.64351,1.00472,0.0091255,0.0091255,0.0091255
55,3999.84,1.03983,0.87132,1.11951,0.79512,0.84564,0.84923,0.61929,0.86856,0.63963,1.00073,0.009109,0.009109,0.009109
56,4073.5,1.04323,0.88342,1.12292,0.79873,0.83839,0.85351,0.62361,0.87241,0.63157,1.00784,0.0090925,0.0090925,0.0090925
57,4147.14,1.05144,0.88669,1.13067,0.79612,0.84399,0.85621,0.63053,0.84746,0.62936,0.99506,0.009076,0.009076,0.009076
