epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.337,1.24561,2.95201,1.3998,0.43966,0.43452,0.38931,0.2399,1.17921,1.9802,1.45482,0.003325,0.003325,0.003325
2,225.381,1.24131,2.03865,1.36232,0.46798,0.38382,0.34425,0.19791,1.36825,2.28221,1.61279,0.00661439,0.00661439,0.00661439
3,352.998,1.32664,1.99848,1.40898,0.4372,0.41999,0.35487,0.20283,1.46394,2.04627,1.73133,0.00985978,0.00985978,0.00985978
4,585.266,1.404,1.99094,1.45922,0.44545,0.43855,0.39764,0.22711,1.42783,1.9837,1.66278,0.009802,0.009802,0.009802
5,702.911,1.36598,1.81179,1.43463,0.51627,0.53857,0.5273,0.31393,1.31601,1.74643,1.53582,0.009736,0.009736,0.009736
6,845.372,1.34044,1.69696,1.41168,0.59062,0.58777,0.59524,0.36188,1.25679,1.55173,1.48906,0.00967,0.00967,0.00967
7,955.88,1.29891,1.58695,1.38368,0.60673,0.61516,0.61847,0.37879,1.25367,1.46358,1.4641,0.009604,0.009604,0.009604
8,1071.73,1.29165,1.49438,1.3657,0.60847,0.58708,0.59061,0.36912,1.22762,1.56293,1.46732,0.009538,0.009538,0.009538
9,1205.41,1.2655,1.44899,1.36287,0.66106,0.61524,0.64224,0.40081,1.24554,1.63369,1.45278,0.009472,0.009472,0.009472
10,1319.05,1.24828,1.38379,1.34071,0.64423,0.65293,0.68373,0.43591,1.17791,1.24264,1.38945,0.009406,0.009406,0.009406
11,1429.8,1.21852,1.33315,1.32818,0.63829,0.67515,0.68773,0.43712,1.16194,1.23152,1.3688,0.00934,0.00934,0.00934
12,1542.35,1.20799,1.29665,1.30985,0.68823,0.69217,0.70606,0.45975,1.12091,1.04828,1.3576,0.009274,0.009274,0.009274
13,1650.16,1.18997,1.24632,1.29893,0.64835,0.71177,0.71196,0.46495,1.10627,1.13386,1.31483,0.009208,0.009208,0.009208
14,1758.68,1.18114,1.21858,1.29704,0.68992,0.64938,0.69698,0.45045,1.08582,1.09651,1.31061,0.009142,0.009142,0.009142
15,1864.12,1.1711,1.1889,1.28573,0.73184,0.74803,0.77359,0.51529,1.08233,0.9348,1.31261,0.009076,0.009076,0.009076
16,1967.89,1.15806,1.17917,1.27745,0.72111,0.74274,0.77145,0.51867,1.05041,0.94102,1.29076,0.00901,0.00901,0.00901
17,2072.52,1.14562,1.16727,1.27573,0.74457,0.71731,0.759,0.51707,1.06316,0.9899,1.28432,0.008944,0.008944,0.008944
18,2174.76,1.14517,1.13557,1.26673,0.75288,0.76822,0.79561,0.5429,1.02949,0.88318,1.25856,0.008878,0.008878,0.008878
19,2273.25,1.12943,1.10352,1.26602,0.7606,0.76195,0.78681,0.53752,1.0305,0.90025,1.28157,0.008812,0.008812,0.008812
20,2372.04,1.12029,1.08657,1.25609,0.76887,0.74766,0.78737,0.54849,0.99399,0.86173,1.23344,0.008746,0.008746,0.008746
21,2469.3,1.1149,1.07078,1.24898,0.7561,0.7764,0.79164,0.5412,1.00922,0.85427,1.24929,0.00868,0.00868,0.00868
22,2565.37,1.09311,1.05629,1.24124,0.77262,0.79232,0.81416,0.56108,0.98776,0.82086,1.23418,0.008614,0.008614,0.008614
23,2664.44,1.08599,1.03224,1.23384,0.76548,0.7835,0.81179,0.56518,0.98363,0.81914,1.22916,0.008548,0.008548,0.008548
24,2764.19,1.084,1.01729,1.22661,0.77106,0.78343,0.80963,0.56316,0.98891,0.80137,1.22112,0.008482,0.008482,0.008482
