epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.877,1.21986,2.99928,1.37003,0.44765,0.4872,0.42464,0.26308,1.16149,1.89203,1.41491,0.00331667,0.00331667,0.00331667
2,223.612,1.222,1.92163,1.32961,0.51348,0.50375,0.48509,0.28824,1.2334,1.77733,1.47075,0.00660611,0.00660611,0.00660611
3,329.356,1.29787,1.87036,1.37056,0.48995,0.39262,0.36743,0.2087,1.44057,1.96388,1.62984,0.00985155,0.00985155,0.00985155
4,432.928,1.39823,1.91914,1.44268,0.44079,0.4198,0.38613,0.21334,1.50678,2.22886,1.67186,0.009802,0.009802,0.009802
5,537.101,1.36777,1.7621,1.41952,0.51992,0.50266,0.48505,0.28911,1.37915,1.76486,1.57505,0.009736,0.009736,0.009736
6,641.498,1.34029,1.61898,1.39222,0.57588,0.52564,0.52545,0.30815,1.35068,1.62772,1.53248,0.00967,0.00967,0.00967
7,746.048,1.29401,1.50967,1.36631,0.52775,0.46517,0.45733,0.25854,1.44419,2.18972,1.6133,0.009604,0.009604,0.009604
8,850.336,1.26793,1.4234,1.34598,0.62523,0.60637,0.62658,0.38474,1.22425,1.34296,1.43784,0.009538,0.009538,0.009538
9,960.541,1.24443,1.36838,1.33684,0.68979,0.63876,0.6671,0.41178,1.2139,1.24958,1.42124,0.009472,0.009472,0.009472
10,1063.38,1.23442,1.33764,1.32914,0.63441,0.67671,0.6887,0.43946,1.14637,1.23911,1.35619,0.009406,0.009406,0.009406
11,1172.31,1.20093,1.24879,1.30224,0.65498,0.66756,0.6986,0.45413,1.1465,1.12762,1.34614,0.00934,0.00934,0.00934
12,1275.67,1.2044,1.22809,1.29627,0.71184,0.68925,0.71902,0.4764,1.10053,1.06305,1.31487,0.009274,0.009274,0.009274
13,1378.15,1.18176,1.19464,1.27949,0.64638,0.74271,0.72915,0.46525,1.13489,1.04303,1.34773,0.009208,0.009208,0.009208
14,1481.73,1.16157,1.15251,1.27486,0.71618,0.69877,0.73412,0.49331,1.09924,0.9974,1.30358,0.009142,0.009142,0.009142
15,1588.14,1.15973,1.14205,1.27456,0.70482,0.73751,0.73939,0.4925,1.07996,1.02202,1.29986,0.009076,0.009076,0.009076
16,1691.18,1.13775,1.10733,1.25979,0.71083,0.74861,0.75332,0.50674,1.07547,0.95885,1.28077,0.00901,0.00901,0.00901
17,1793.24,1.12842,1.07757,1.2465,0.69844,0.71019,0.74859,0.51158,1.06361,1.13639,1.27051,0.008944,0.008944,0.008944
18,1897.32,1.1237,1.08113,1.24608,0.74907,0.76547,0.79196,0.54903,1.01422,0.87834,1.24702,0.008878,0.008878,0.008878
19,2000.46,1.10869,1.04154,1.24101,0.75887,0.77793,0.80052,0.54925,1.00592,0.86857,1.24287,0.008812,0.008812,0.008812
20,2103.28,1.10811,1.03526,1.24321,0.75034,0.74776,0.77807,0.53394,1.02713,0.9144,1.25727,0.008746,0.008746,0.008746
21,2205.08,1.09963,1.02499,1.23647,0.72613,0.7474,0.77513,0.53334,0.99752,0.92103,1.22649,0.00868,0.00868,0.00868
22,2306.17,1.08578,1.00182,1.22966,0.74413,0.78819,0.80981,0.56411,0.9926,0.81973,1.22199,0.008614,0.008614,0.008614
23,2407.36,1.08034,0.97873,1.21649,0.74643,0.79093,0.79303,0.54463,1.02207,0.82265,1.24417,0.008548,0.008548,0.008548
24,2514.57,1.05994,0.96682,1.21109,0.75626,0.7792,0.80065,0.56636,0.97731,0.80415,1.20638,0.008482,0.008482,0.008482
25,2616.79,1.06276,0.97065,1.20699,0.7727,0.79319,0.8084,0.55164,1.01707,0.84082,1.24169,0.008416,0.008416,0.008416
26,2719.93,1.04624,0.95056,1.20309,0.76648,0.79134,0.80404,0.56958,0.97731,0.78842,1.20379,0.00835,0.00835,0.00835
27,2828.18,1.05156,0.94831,1.20628,0.773,0.79295,0.81493,0.58175,0.96588,0.77499,1.19209,0.008284,0.008284,0.008284
28,2930.75,1.05163,0.92079,1.20019,0.78591,0.78835,0.82447,0.58493,0.95595,0.76896,1.18881,0.008218,0.008218,0.008218
29,3034.63,1.0372,0.91051,1.19541,0.77521,0.82423,0.82898,0.5983,0.94189,0.75589,1.19213,0.008152,0.008152,0.008152
30,3136.67,1.02367,0.90486,1.1904,0.77335,0.80638,0.81417,0.58517,0.94552,0.75512,1.17715,0.008086,0.008086,0.008086
31,3240.83,1.02327,0.89703,1.18559,0.79153,0.84227,0.84597,0.60828,0.937,0.70741,1.17566,0.00802,0.00802,0.00802
32,3343.44,1.01476,0.88219,1.1795,0.78719,0.83678,0.84129,0.60762,0.92943,0.72695,1.16668,0.007954,0.007954,0.007954
33,3445.33,1.00393,0.876,1.17625,0.78557,0.83242,0.84794,0.61703,0.90447,0.69631,1.15205,0.007888,0.007888,0.007888
34,3551.16,1.00908,0.86816,1.17674,0.78171,0.84682,0.83825,0.61254,0.91378,0.71507,1.15435,0.007822,0.007822,0.007822
35,3661.64,1.01243,0.87342,1.17757,0.79092,0.83671,0.84358,0.61092,0.92511,0.70572,1.1679,0.007756,0.007756,0.007756
36,3751.11,0.99822,0.85567,1.16767,0.78881,0.84144,0.84313,0.62419,0.89052,0.69449,1.13985,0.00769,0.00769,0.00769
37,3839.51,1.0003,0.85217,1.16859,0.81208,0.8274,0.84782,0.61818,0.90512,0.69266,1.14741,0.007624,0.007624,0.007624
38,3923.05,0.9902,0.84325,1.16158,0.80482,0.85328,0.85071,0.62569,0.8901,0.67203,1.13847,0.007558,0.007558,0.007558
39,4007.17,0.98652,0.83388,1.15809,0.81169,0.84266,0.8543,0.6301,0.88997,0.68179,1.13679,0.007492,0.007492,0.007492
40,4095.12,0.98257,0.8237,1.15647,0.81333,0.8592,0.86514,0.63775,0.87918,0.6581,1.13046,0.007426,0.007426,0.007426
