epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5102,1.28297,2.67839,1.25347,0.51648,0.46475,0.47845,0.28883,1.29094,1.72724,1.18955,0.000330409,0.000330409,0.000330409
2,63.2369,1.29053,1.64152,1.25196,0.6193,0.52385,0.54089,0.33487,1.22462,1.4023,1.182,0.000659362,0.000659362,0.000659362
3,91.5265,1.26629,1.53062,1.2489,0.49947,0.48918,0.46996,0.27701,1.3374,1.71334,1.2748,0.000983915,0.000983915,0.000983915
4,119.406,1.30317,1.48222,1.25615,0.63988,0.54655,0.58393,0.35404,1.26885,1.47731,1.24722,0.0009802,0.0009802,0.0009802
5,148.043,1.25984,1.38573,1.23533,0.63635,0.55025,0.56833,0.33988,1.27718,1.78241,1.25168,0.0009736,0.0009736,0.0009736
6,176.529,1.23364,1.30362,1.22764,0.68398,0.58992,0.6516,0.41367,1.1749,1.22044,1.18662,0.000967,0.000967,0.000967
7,205.134,1.22809,1.26319,1.21241,0.64159,0.50688,0.53733,0.33977,1.21121,1.46437,1.19144,0.0009604,0.0009604,0.0009604
8,233.729,1.22774,1.22627,1.20282,0.74042,0.6317,0.71765,0.4569,1.16311,1.06986,1.17201,0.0009538,0.0009538,0.0009538
9,262.653,1.19177,1.16452,1.1947,0.6075,0.60681,0.65037,0.41204,1.16231,1.37337,1.16963,0.0009472,0.0009472,0.0009472
10,291.343,1.1793,1.13505,1.19036,0.71209,0.62728,0.6872,0.42254,1.20133,1.17442,1.2103,0.0009406,0.0009406,0.0009406
11,319.811,1.16447,1.09253,1.17645,0.6863,0.63857,0.67115,0.42865,1.1867,1.15683,1.21014,0.000934,0.000934,0.000934
12,347.267,1.17442,1.09827,1.17972,0.77617,0.68916,0.77911,0.50853,1.10168,0.89606,1.14123,0.0009274,0.0009274,0.0009274
13,377.109,1.1552,1.05703,1.17526,0.75906,0.70383,0.76967,0.50465,1.09913,0.95191,1.1387,0.0009208,0.0009208,0.0009208
14,410.502,1.15504,1.04738,1.16939,0.79154,0.67941,0.7761,0.51435,1.07925,0.85819,1.11788,0.0009142,0.0009142,0.0009142
